model	objective	gene	status	value
iUL909.xml	obj	G_OGAPODRAFT_16711	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16716	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16722	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16723	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16731	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16732	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16733	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16736	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16737	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16745	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16748	optimal	0.150443
iUL909.xml	obj	G_OGAPODRAFT_16749	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16753	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16755	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16761	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16764	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16776	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16781	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16782	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16797	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16799	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16818	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16822	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16837	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16862	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16889	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16899	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16907	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16911	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16923	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16932	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_16943	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16957	optimal	1.088415
iUL909.xml	obj	G_OGAPODRAFT_16968	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16971	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16973	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16979	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16983	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16992	optimal	1.058259
iUL909.xml	obj	G_OGAPODRAFT_16996	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17000	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17001	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17022	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_17032	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17033	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17038	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17048	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17052	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17054	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_17060	optimal	1.112498
iUL909.xml	obj	G_OGAPODRAFT_17070	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17076	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17086	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17090	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17093	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17095	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17098	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17101	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17110	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_17124	optimal	1.116836
